Date,Time,Temperature(°C),Interval
2025-04-07,17:13:26,-,30 sec
07-04-2025,17:13:26,25.7,30 sec
07-04-2025,17:13:56,25.7,30 sec
07-04-2025,17:14:26,25.6,30 sec
07-04-2025,17:14:56,25.7,30 sec
07-04-2025,17:15:26,25.7,30 sec
07-04-2025,17:15:56,25.7,30 sec
07-04-2025,17:16:26,25.7,30 sec
07-04-2025,17:16:56,25.7,30 sec
07-04-2025,17:17:26,25.7,30 sec
07-04-2025,17:17:56,25.6,30 sec
07-04-2025,17:18:26,25.7,30 sec
07-04-2025,17:18:56,25.7,30 sec
07-04-2025,17:19:26,25.7,30 sec
07-04-2025,17:19:56,25.7,30 sec
07-04-2025,17:20:26,25.7,30 sec
07-04-2025,17:20:56,25.7,30 sec
07-04-2025,17:21:26,25.7,30 sec
07-04-2025,17:21:56,25.7,30 sec
07-04-2025,17:22:26,25.6,30 sec
07-04-2025,17:22:56,25.7,30 sec
07-04-2025,17:23:26,25.7,30 sec
07-04-2025,17:23:56,25.7,30 sec
07-04-2025,17:24:26,25.7,30 sec
07-04-2025,17:24:56,25.7,30 sec
07-04-2025,17:25:26,25.6,30 sec
07-04-2025,17:25:56,25.7,30 sec
07-04-2025,17:26:26,25.6,30 sec
07-04-2025,17:26:56,25.7,30 sec
07-04-2025,17:27:26,25.7,30 sec
07-04-2025,17:27:56,25.7,30 sec
