Date,Time,Temperature(°C),Interval
2025-04-07,17:13:26,-,30 sec
07-04-2025,17:13:26,25.7,30 sec
07-04-2025,17:13:56,25.7,30 sec
07-04-2025,17:14:26,25.6,30 sec
07-04-2025,17:14:56,25.7,30 sec
07-04-2025,17:15:26,25.7,30 sec
07-04-2025,17:15:56,25.7,30 sec
07-04-2025,17:16:26,25.7,30 sec
07-04-2025,17:16:56,25.7,30 sec
07-04-2025,17:17:26,25.7,30 sec
07-04-2025,17:17:56,25.6,30 sec
07-04-2025,17:18:26,25.7,30 sec
07-04-2025,17:18:56,25.7,30 sec
07-04-2025,17:19:26,25.7,30 sec
07-04-2025,17:19:56,25.7,30 sec
07-04-2025,17:20:26,25.7,30 sec
07-04-2025,17:20:56,25.7,30 sec
07-04-2025,17:21:26,25.7,30 sec
07-04-2025,17:21:56,25.7,30 sec
07-04-2025,17:22:26,25.6,30 sec
07-04-2025,17:22:56,25.7,30 sec
07-04-2025,17:23:26,25.7,30 sec
07-04-2025,17:23:56,25.7,30 sec
07-04-2025,17:24:26,25.7,30 sec
07-04-2025,17:24:56,25.7,30 sec
07-04-2025,17:25:26,25.6,30 sec
07-04-2025,17:25:56,25.7,30 sec
07-04-2025,17:26:26,25.6,30 sec
07-04-2025,17:26:56,25.7,30 sec
07-04-2025,17:27:26,25.7,30 sec
07-04-2025,17:27:56,25.7,30 sec
07-04-2025,17:28:26,20.6,30 sec
07-04-2025,17:28:56,25.6,30 sec
07-04-2025,17:29:26,25.7,30 sec
07-04-2025,17:29:56,25.7,30 sec
07-04-2025,17:30:26,25.7,30 sec
07-04-2025,17:30:56,25.7,30 sec
07-04-2025,17:31:26,25.7,30 sec
07-04-2025,17:31:56,25.8,30 sec
07-04-2025,17:32:26,20.8,30 sec
07-04-2025,17:32:56,26.1,30 sec
07-04-2025,17:33:26,26.6,30 sec
07-04-2025,17:33:56,27.0,30 sec
07-04-2025,17:34:26,27.5,30 sec
07-04-2025,17:34:56,27.8,30 sec
07-04-2025,17:35:26,28.1,30 sec
07-04-2025,17:35:56,25.8,30 sec
07-04-2025,17:36:26,28.1,30 sec
07-04-2025,17:36:56,28.6,30 sec
07-04-2025,17:37:26,28.6,30 sec
07-04-2025,17:37:56,23.4,30 sec
07-04-2025,17:38:26,28.5,30 sec
07-04-2025,17:38:56,28.4,30 sec
07-04-2025,17:39:26,28.4,30 sec
07-04-2025,17:39:56,28.4,30 sec
07-04-2025,17:40:26,23.2,30 sec
07-04-2025,17:40:56,25.7,30 sec
07-04-2025,17:41:26,28.2,30 sec
07-04-2025,17:41:56,25.6,30 sec
07-04-2025,17:42:26,28.1,30 sec
07-04-2025,17:42:56,28.1,30 sec
