Date,Time,Temperature(°C),Interval(in minutes)
2025-04-04,10:16:08,-,30 sec
04-04-2025,10:16:08,12.3,0.5
04-04-2025,10:16:38,12.3,0.5
04-04-2025,10:17:08,12.3,0.5
04-04-2025,10:17:38,12.3,0.5
04-04-2025,10:18:08,12.3,0.5
04-04-2025,10:18:38,12.3,0.5
04-04-2025,10:19:08,12.3,0.5
04-04-2025,10:19:38,12.3,0.5
04-04-2025,10:20:08,12.3,0.5
04-04-2025,10:20:38,12.3,0.5
04-04-2025,10:21:08,12.3,0.5
04-04-2025,10:21:38,12.3,0.5
04-04-2025,10:22:08,12.3,0.5
04-04-2025,10:22:38,12.3,0.5
04-04-2025,10:23:08,12.3,0.5
04-04-2025,10:23:38,12.3,0.5
04-04-2025,10:24:08,12.3,0.5
04-04-2025,10:24:38,12.3,0.5
04-04-2025,10:25:08,12.3,0.5
04-04-2025,10:25:38,12.3,0.5
04-04-2025,10:26:08,12.3,0.5
04-04-2025,10:26:38,12.3,0.5
04-04-2025,10:27:08,12.3,0.5
04-04-2025,10:27:38,12.3,0.5
04-04-2025,10:28:08,12.3,0.5
04-04-2025,10:28:38,12.3,0.5
04-04-2025,10:29:08,12.3,0.5
04-04-2025,10:29:38,12.3,0.5
04-04-2025,10:30:08,12.3,0.5
04-04-2025,10:30:38,12.3,0.5
04-04-2025,10:31:08,12.3,0.5
04-04-2025,10:31:38,12.3,0.5
04-04-2025,10:32:08,12.3,0.5
04-04-2025,10:32:38,12.3,0.5
04-04-2025,10:33:08,12.3,0.5
04-04-2025,10:33:38,12.3,0.5
04-04-2025,10:34:08,12.3,0.5
04-04-2025,10:34:38,12.3,0.5
04-04-2025,10:35:08,12.3,0.5
04-04-2025,10:35:38,12.3,0.5
04-04-2025,10:36:08,12.3,0.5
04-04-2025,10:36:38,12.3,0.5
04-04-2025,10:37:08,12.3,0.5
04-04-2025,10:37:38,12.3,0.5
04-04-2025,10:38:08,12.3,0.5
