Date,Time,Temperature(°C),Interval
2025-03-29,10:08:41,-,30 sec
29-03-2025,10:08:41,26.02,30 sec
29-03-2025,10:09:11,25.94,30 sec
29-03-2025,10:09:41,25.92,30 sec
29-03-2025,10:10:11,25.93,30 sec
29-03-2025,10:10:41,25.87,30 sec
29-03-2025,10:11:11,25.80,30 sec
29-03-2025,10:11:41,25.79,30 sec
29-03-2025,10:12:11,26.65,30 sec
29-03-2025,10:12:41,26.93,30 sec
29-03-2025,10:13:11,26.95,30 sec
29-03-2025,10:13:41,26.97,30 sec
29-03-2025,10:14:11,26.99,30 sec
29-03-2025,10:14:41,27.00,30 sec
29-03-2025,10:15:11,27.01,30 sec
29-03-2025,10:15:41,27.01,30 sec
29-03-2025,10:16:11,27.01,30 sec
29-03-2025,10:16:41,27.01,30 sec
29-03-2025,10:17:11,27.00,30 sec
29-03-2025,10:17:41,26.98,30 sec
29-03-2025,10:18:11,26.95,30 sec
29-03-2025,10:18:41,26.92,30 sec
29-03-2025,10:19:11,26.91,30 sec
29-03-2025,10:19:41,26.90,30 sec
29-03-2025,10:20:11,26.90,30 sec
29-03-2025,10:20:41,26.90,30 sec
29-03-2025,10:21:11,26.89,30 sec
29-03-2025,10:21:41,26.86,30 sec
29-03-2025,10:22:11,26.85,30 sec
29-03-2025,10:22:41,26.85,30 sec
29-03-2025,10:23:11,26.86,30 sec
29-03-2025,10:23:41,26.87,30 sec
29-03-2025,10:24:11,26.86,30 sec
29-03-2025,10:24:41,26.84,30 sec
29-03-2025,10:25:11,26.81,30 sec
29-03-2025,10:25:41,26.76,30 sec
29-03-2025,10:26:11,26.75,30 sec
29-03-2025,10:26:41,26.73,30 sec
29-03-2025,10:27:11,26.72,30 sec
29-03-2025,10:27:41,26.70,30 sec
29-03-2025,10:28:11,26.68,30 sec
29-03-2025,10:28:41,26.67,30 sec
29-03-2025,10:29:11,26.65,30 sec
29-03-2025,10:29:41,26.64,30 sec
29-03-2025,10:30:11,26.64,30 sec
29-03-2025,10:30:41,26.65,30 sec
29-03-2025,10:31:11,26.66,30 sec
29-03-2025,10:31:41,26.68,30 sec
29-03-2025,10:32:11,26.68,30 sec
29-03-2025,10:32:41,26.67,30 sec
29-03-2025,10:33:11,26.66,30 sec
29-03-2025,10:33:41,26.65,30 sec
29-03-2025,10:34:11,26.65,30 sec
29-03-2025,10:34:41,26.65,30 sec
29-03-2025,10:35:11,26.63,30 sec
29-03-2025,10:35:41,26.62,30 sec
29-03-2025,10:36:11,26.60,30 sec
29-03-2025,10:36:41,26.59,30 sec
29-03-2025,10:37:11,26.58,30 sec
29-03-2025,10:37:41,26.58,30 sec
29-03-2025,10:38:11,26.59,30 sec
29-03-2025,10:38:41,26.60,30 sec
29-03-2025,10:39:11,26.60,30 sec
29-03-2025,10:39:41,26.62,30 sec
29-03-2025,10:40:11,26.64,30 sec
2025-03-29,10:53:22,-,30 sec
29-03-2025,10:53:22,29.17,30 sec
29-03-2025,10:53:52,28.56,30 sec
29-03-2025,10:54:22,28.50,30 sec
29-03-2025,10:54:52,29.94,30 sec
29-03-2025,09:54:12,30.17,30 sec
29-03-2025,09:54:42,30.23,30 sec
29-03-2025,09:55:12,30.24,30 sec
29-03-2025,09:55:42,30.28,30 sec
29-03-2025,09:56:12,30.32,30 sec
29-03-2025,09:56:42,30.37,30 sec
29-03-2025,09:57:12,30.44,30 sec
29-03-2025,09:57:42,29.89,30 sec
29-03-2025,09:58:12,30.62,30 sec
29-03-2025,09:58:42,30.72,30 sec
29-03-2025,09:59:12,30.84,30 sec
29-03-2025,09:59:42,30.97,30 sec
29-03-2025,10:00:12,31.10,30 sec
