Date,Time,Temperature(°C),Interval(in minutes)
2025-04-02,19:46:37,-,30 sec
02-04-2025,19:46:37,24.1,0.5
02-04-2025,19:47:07,24.2,0.5
02-04-2025,19:47:37,23.5,0.5
02-04-2025,19:48:07,24.2,0.5
02-04-2025,19:48:37,24.1,0.5
02-04-2025,19:49:07,24.3,0.5
02-04-2025,19:49:37,24.4,0.5
02-04-2025,19:50:07,24.5,0.5
02-04-2025,19:50:37,24.5,0.5
02-04-2025,19:51:07,24.6,0.5
02-04-2025,19:51:37,24.5,0.5
02-04-2025,19:52:07,24.6,0.5
02-04-2025,19:52:37,24.6,0.5
02-04-2025,19:53:07,24.5,0.5
02-04-2025,19:53:37,24.5,0.5
