Date,Time,Temperature(°C),Interval
2025-04-10,11:56:53,-,30 sec
10-04-2025,11:56:53,25.1,30 sec
10-04-2025,11:57:23,25.1,30 sec
10-04-2025,11:57:53,25.1,30 sec
10-04-2025,11:58:23,25.1,30 sec
10-04-2025,11:58:53,25.1,30 sec
10-04-2025,11:59:23,25.1,30 sec
10-04-2025,11:59:53,25.1,30 sec
10-04-2025,12:00:23,25.1,30 sec
10-04-2025,12:00:53,25.1,30 sec
10-04-2025,12:01:23,25.1,30 sec
10-04-2025,12:01:53,25.1,30 sec
10-04-2025,12:02:23,25.1,30 sec
10-04-2025,12:02:53,25.1,30 sec
10-04-2025,12:03:23,25.1,30 sec
10-04-2025,12:03:53,25.1,30 sec
10-04-2025,12:04:23,25.1,30 sec
10-04-2025,12:04:53,25.1,30 sec
10-04-2025,12:05:23,25.1,30 sec
10-04-2025,12:05:53,25.1,30 sec
10-04-2025,12:06:23,25.1,30 sec
10-04-2025,12:06:53,25.1,30 sec
10-04-2025,12:07:23,25.1,30 sec
10-04-2025,12:07:53,25.1,30 sec
10-04-2025,12:08:23,25.1,30 sec
10-04-2025,12:08:53,25.1,30 sec
10-04-2025,12:09:23,25.1,30 sec
10-04-2025,12:09:53,25.0,30 sec
10-04-2025,12:10:23,25.0,30 sec
10-04-2025,12:10:53,25.0,30 sec
10-04-2025,12:11:23,25.0,30 sec
10-04-2025,12:11:53,25.1,30 sec
10-04-2025,12:12:23,25.0,30 sec
10-04-2025,12:12:53,25.0,30 sec
10-04-2025,12:13:23,25.1,30 sec
10-04-2025,12:13:53,25.0,30 sec
10-04-2025,12:14:23,25.0,30 sec
10-04-2025,12:14:53,25.0,30 sec
10-04-2025,12:15:23,25.0,30 sec
10-04-2025,12:15:53,25.0,30 sec
10-04-2025,12:16:23,25.0,30 sec
