Date,Time,Temperature(°C),Interval(in minutes)
2025-04-04,10:26:58,-,30 sec
04-04-2025,10:26:58,12.3,0.5
04-04-2025,10:27:28,12.3,0.5
04-04-2025,10:27:58,12.3,0.5
04-04-2025,10:28:28,12.3,0.5
04-04-2025,10:28:58,12.3,0.5
04-04-2025,10:29:28,12.3,0.5
04-04-2025,10:29:58,12.3,0.5
04-04-2025,10:30:28,12.3,0.5
04-04-2025,10:30:58,12.3,0.5
04-04-2025,10:31:28,12.3,0.5
04-04-2025,10:31:58,12.3,0.5
04-04-2025,10:32:28,12.3,0.5
04-04-2025,10:32:58,12.3,0.5
04-04-2025,10:33:28,12.3,0.5
04-04-2025,10:33:58,12.3,0.5
04-04-2025,10:34:28,12.3,0.5
04-04-2025,10:34:58,12.3,0.5
04-04-2025,10:35:28,12.3,0.5
04-04-2025,10:35:58,12.3,0.5
04-04-2025,10:36:28,12.3,0.5
04-04-2025,10:36:58,12.3,0.5
04-04-2025,10:37:28,12.3,0.5
04-04-2025,10:37:58,12.3,0.5
04-04-2025,10:38:28,12.3,0.5
