Date,Time,Temperature(°C),Interval(in minutes)
2025-04-05,17:24:55,-,10 min
05-04-2025,17:24:55,26.5,10
05-04-2025,17:34:55,26.4,10
05-04-2025,17:44:55,26.5,10
05-04-2025,17:54:55,26.4,10
05-04-2025,18:04:55,26.4,10
05-04-2025,18:14:55,26.4,10
05-04-2025,18:24:55,26.4,10
05-04-2025,18:34:55,26.3,10
05-04-2025,18:44:55,26.3,10
05-04-2025,18:54:55,26.3,10
05-04-2025,19:04:55,26.3,10
05-04-2025,19:14:55,26.3,10
05-04-2025,19:24:55,26.3,10
05-04-2025,19:34:55,26.2,10
05-04-2025,19:44:55,26.2,10
05-04-2025,19:54:55,26.2,10
05-04-2025,20:04:55,26.2,10
05-04-2025,20:14:55,26.2,10
05-04-2025,20:24:55,25.9,10
05-04-2025,20:34:55,26.2,10
05-04-2025,20:44:55,26.1,10
05-04-2025,20:54:55,26.1,10
05-04-2025,21:04:55,25.8,10
05-04-2025,21:14:55,26.1,10
05-04-2025,21:24:55,26.1,10
05-04-2025,21:34:55,26.1,10
05-04-2025,21:44:55,25.7,10
05-04-2025,21:54:55,26.0,10
05-04-2025,22:04:55,26.0,10
05-04-2025,22:14:55,25.7,10
05-04-2025,22:24:55,26.0,10
05-04-2025,22:34:55,25.9,10
05-04-2025,22:44:55,26.0,10
05-04-2025,22:54:55,26.0,10
05-04-2025,23:04:55,26.0,10
05-04-2025,23:14:55,26.0,10
05-04-2025,23:24:55,26.0,10
05-04-2025,23:34:55,25.9,10
05-04-2025,23:44:55,25.9,10
05-04-2025,23:54:55,25.9,10
05-04-2025,00:04:55,25.9,10
05-04-2025,00:14:55,25.9,10
05-04-2025,00:24:55,25.9,10
05-04-2025,00:34:55,25.9,10
05-04-2025,00:44:55,25.9,10
05-04-2025,00:54:55,25.9,10
05-04-2025,01:04:55,25.6,10
05-04-2025,01:14:55,25.9,10
05-04-2025,01:24:55,25.9,10
05-04-2025,01:34:55,20.6,10
05-04-2025,01:44:55,25.8,10
05-04-2025,01:54:55,25.8,10
05-04-2025,02:04:55,25.8,10
05-04-2025,02:14:55,25.7,10
05-04-2025,02:24:55,20.7,10
05-04-2025,02:34:55,25.7,10
05-04-2025,02:44:55,25.8,10
05-04-2025,02:54:55,25.8,10
05-04-2025,03:04:55,25.6,10
05-04-2025,03:14:55,20.7,10
05-04-2025,03:24:55,25.8,10
05-04-2025,03:34:55,25.8,10
05-04-2025,03:44:55,25.8,10
05-04-2025,03:54:55,25.8,10
05-04-2025,04:04:55,25.8,10
05-04-2025,04:14:55,25.8,10
05-04-2025,04:24:55,25.8,10
05-04-2025,04:34:55,25.8,10
05-04-2025,04:44:55,25.8,10
05-04-2025,04:54:55,25.6,10
05-04-2025,05:04:55,25.8,10
05-04-2025,05:14:55,25.8,10
