Date,Time,Temperature(°C),Interval
2025-03-29,16:27:48,-,5 min
29-03-2025,16:27:48,21.61,5 min
29-03-2025,16:32:48,24.17,5 min
29-03-2025,16:37:48,24.17,5 min
29-03-2025,16:42:48,24.17,5 min
29-03-2025,16:47:48,24.17,5 min
29-03-2025,16:52:48,23.53,5 min
29-03-2025,16:57:48,24.17,5 min
29-03-2025,17:02:48,24.17,5 min
29-03-2025,17:07:48,24.17,5 min
29-03-2025,17:12:48,24.00,5 min
29-03-2025,17:17:48,24.16,5 min
29-03-2025,17:22:48,24.16,5 min
29-03-2025,17:27:48,24.15,5 min
29-03-2025,17:32:48,21.54,5 min
29-03-2025,17:37:48,24.15,5 min
29-03-2025,17:42:48,24.14,5 min
29-03-2025,17:47:48,23.50,5 min
29-03-2025,17:52:48,24.10,5 min
29-03-2025,17:57:48,23.50,5 min
29-03-2025,18:02:48,24.14,5 min
29-03-2025,18:07:48,24.14,5 min
29-03-2025,18:12:48,24.12,5 min
29-03-2025,18:17:48,24.14,5 min
29-03-2025,18:22:48,24.14,5 min
29-03-2025,18:27:48,24.05,5 min
29-03-2025,18:32:48,24.13,5 min
29-03-2025,18:37:48,24.12,5 min
29-03-2025,18:42:48,24.04,5 min
29-03-2025,18:47:48,24.12,5 min
29-03-2025,18:52:48,24.11,5 min
29-03-2025,18:57:48,24.03,5 min
29-03-2025,19:02:48,24.10,5 min
29-03-2025,19:07:48,24.10,5 min
29-03-2025,19:12:48,23.46,5 min
29-03-2025,19:17:48,24.09,5 min
29-03-2025,19:22:48,23.45,5 min
29-03-2025,19:27:48,24.08,5 min
29-03-2025,19:32:48,24.08,5 min
29-03-2025,19:37:48,23.75,5 min
29-03-2025,19:42:48,24.06,5 min
29-03-2025,19:47:48,24.04,5 min
29-03-2025,19:52:48,23.42,5 min
29-03-2025,19:57:48,24.05,5 min
29-03-2025,20:02:48,24.01,5 min
29-03-2025,20:07:48,24.01,5 min
29-03-2025,20:12:48,23.40,5 min
29-03-2025,20:17:48,24.04,5 min
29-03-2025,20:22:48,24.03,5 min
29-03-2025,20:27:48,24.03,5 min
29-03-2025,20:32:48,24.02,5 min
29-03-2025,20:37:48,24.02,5 min
29-03-2025,20:42:48,24.02,5 min
29-03-2025,20:47:48,24.01,5 min
29-03-2025,20:52:48,24.01,5 min
29-03-2025,20:57:48,23.37,5 min
29-03-2025,21:02:48,24.00,5 min
29-03-2025,21:07:48,24.00,5 min
29-03-2025,21:12:48,24.00,5 min
29-03-2025,21:17:48,24.00,5 min
29-03-2025,21:22:48,24.00,5 min
