Date,Time,Temperature(°C),Interval(in minutes)
2025-04-02,14:46:25,-,10 min
02-04-2025,14:46:25,24.8,10
02-04-2025,14:56:25,23.6,10
02-04-2025,15:06:25,24.8,10
02-04-2025,15:16:25,24.8,10
02-04-2025,15:26:25,24.8,10
02-04-2025,15:36:25,24.8,10
02-04-2025,15:46:25,24.9,10
02-04-2025,15:56:25,24.9,10
02-04-2025,16:06:25,24.8,10
02-04-2025,16:16:25,24.9,10
02-04-2025,16:26:25,24.9,10
02-04-2025,16:36:25,24.9,10
02-04-2025,16:46:25,24.9,10
02-04-2025,16:56:25,24.8,10
02-04-2025,17:06:25,24.9,10
02-04-2025,17:16:25,24.9,10
02-04-2025,17:26:25,24.9,10
02-04-2025,17:36:25,25.0,10
02-04-2025,17:46:25,24.4,10
02-04-2025,17:56:25,25.0,10
02-04-2025,18:06:25,25.1,10
02-04-2025,18:16:25,25.1,10
02-04-2025,18:26:25,25.1,10
02-04-2025,18:36:25,24.5,10
02-04-2025,18:46:25,24.5,10
02-04-2025,18:56:25,25.2,10
02-04-2025,19:06:25,25.1,10
02-04-2025,19:16:25,25.2,10
02-04-2025,19:26:25,25.3,10
02-04-2025,19:36:25,25.3,10
02-04-2025,19:46:25,25.3,10
02-04-2025,19:56:25,25.3,10
02-04-2025,20:06:25,25.3,10
02-04-2025,20:16:25,25.3,10
02-04-2025,20:26:25,25.3,10
02-04-2025,20:36:25,25.4,10
02-04-2025,20:46:25,25.4,10
02-04-2025,20:56:25,25.3,10
02-04-2025,21:06:25,25.4,10
02-04-2025,21:16:25,25.4,10
02-04-2025,21:26:25,25.4,10
02-04-2025,21:36:25,25.4,10
02-04-2025,21:46:25,25.4,10
02-04-2025,21:56:25,25.4,10
02-04-2025,22:06:25,25.4,10
02-04-2025,22:16:25,25.1,10
02-04-2025,22:26:25,25.4,10
02-04-2025,22:36:25,25.4,10
02-04-2025,22:46:25,25.4,10
02-04-2025,22:56:25,25.4,10
