Date,Time,Temperature(°C),Interval(in minutes)
2025-04-02,11:42:13,-,10 min
02-04-2025,11:42:13,25.01,10 min
02-04-2025,11:52:13,25.02,10 min
02-04-2025,12:02:13,25.03,10 min
02-04-2025,12:12:13,25.03,10 min
02-04-2025,12:22:13,25.04,10 min
02-04-2025,12:32:13,25.05,10 min
02-04-2025,12:42:13,25.05,10 min
02-04-2025,12:52:13,25.06,10 min
02-04-2025,13:02:13,25.06,10 min
02-04-2025,13:12:13,25.06,10 min
02-04-2025,13:22:13,25.06,10 min
02-04-2025,13:32:13,25.06,10 min
02-04-2025,13:42:13,25.06,10 min
02-04-2025,13:52:13,25.06,10 min
02-04-2025,14:02:13,24.98,10 min
02-04-2025,14:12:13,25.05,10 min
02-04-2025,14:22:13,25.05,10 min
02-04-2025,14:32:13,25.05,10 min
02-04-2025,14:42:13,24.96,10 min
02-04-2025,14:52:13,25.04,10 min
02-04-2025,15:02:13,25.04,10 min
02-04-2025,15:12:13,25.04,10 min
02-04-2025,15:22:13,25.04,10 min
02-04-2025,15:32:13,25.04,10 min
02-04-2025,15:42:13,24.96,10 min
02-04-2025,15:52:13,25.04,10 min
02-04-2025,16:02:13,24.41,10 min
02-04-2025,16:12:13,25.05,10 min
02-04-2025,16:22:13,25.05,10 min
02-04-2025,16:32:13,23.77,10 min
02-04-2025,16:42:13,25.06,10 min
02-04-2025,16:52:13,24.98,10 min
02-04-2025,17:02:13,25.06,10 min
02-04-2025,17:12:13,25.06,10 min
02-04-2025,17:22:13,25.07,10 min
02-04-2025,17:32:13,25.06,10 min
02-04-2025,17:42:13,25.07,10 min
02-04-2025,17:52:13,25.06,10 min
02-04-2025,18:02:13,25.08,10 min
02-04-2025,18:12:13,25.06,10 min
02-04-2025,18:22:13,25.07,10 min
02-04-2025,18:32:13,25.07,10 min
02-04-2025,18:42:13,25.07,10 min
02-04-2025,18:52:13,25.06,10 min
02-04-2025,19:02:13,24.98,10 min
02-04-2025,19:12:13,25.06,10 min
02-04-2025,19:22:13,25.06,10 min
02-04-2025,19:32:13,25.05,10 min
02-04-2025,19:42:13,25.05,10 min
02-04-2025,19:52:13,25.05,10 min
02-04-2025,20:02:13,24.41,10 min
02-04-2025,20:12:13,25.05,10 min
02-04-2025,20:22:13,25.04,10 min
02-04-2025,20:32:13,25.04,10 min
02-04-2025,20:42:13,25.03,10 min
02-04-2025,20:52:13,25.03,10 min
02-04-2025,21:02:13,25.02,10 min
02-04-2025,21:12:13,22.46,10 min
02-04-2025,21:22:13,25.01,10 min
02-04-2025,21:32:13,25.00,10 min
02-04-2025,21:42:13,25.01,10 min
02-04-2025,21:52:13,25.01,10 min
02-04-2025,22:02:13,24.37,10 min
02-04-2025,22:12:13,25.02,10 min
02-04-2025,22:22:13,25.02,10 min
02-04-2025,22:32:13,25.02,10 min
02-04-2025,22:42:13,25.03,10 min
02-04-2025,22:52:13,25.04,10 min
02-04-2025,23:02:13,25.05,10 min
02-04-2025,23:12:13,25.05,10 min
02-04-2025,23:22:13,25.06,10 min
02-04-2025,23:32:13,24.98,10 min
02-04-2025,23:42:13,24.35,10 min
02-04-2025,23:52:13,25.08,10 min
03-04-2025,00:02:13,25.09,10 min
04-04-2025,00:12:13,25.05,10 min
05-04-2025,00:22:13,25.10,10 min
06-04-2025,00:32:13,24.46,10 min
07-04-2025,00:42:13,25.11,10 min
08-04-2025,00:52:13,25.09,10 min
02-04-2025,01:02:13,25.12,10 min
02-04-2025,01:12:13,24.96,10 min
02-04-2025,01:22:13,25.12,10 min
02-04-2025,01:32:13,25.12,10 min
02-04-2025,01:42:13,25.13,10 min
02-04-2025,01:52:13,25.12,10 min
02-04-2025,02:02:13,24.96,10 min
02-04-2025,02:12:13,25.12,10 min
02-04-2025,02:22:13,24.48,10 min
02-04-2025,02:32:13,24.42,10 min
02-04-2025,02:42:13,25.07,10 min
02-04-2025,02:52:13,25.11,10 min
02-04-2025,03:02:13,25.11,10 min
02-04-2025,03:12:13,25.11,10 min
02-04-2025,03:22:13,25.12,10 min
02-04-2025,03:32:13,25.12,10 min
02-04-2025,03:42:13,25.12,10 min
02-04-2025,03:52:13,25.13,10 min
02-04-2025,04:02:13,25.13,10 min
02-04-2025,04:12:13,25.14,10 min
