Date,Time,Temperature(°C),Interval
2025-05-25,23:47:50,-,5 min
25-05-2025,23:47:50,34.7,5 min
25-05-2025,23:52:50,34.5,5 min
25-05-2025,23:57:50,34.5,5 min
26-05-2025,00:02:50,34.3,5 min
26-05-2025,00:07:50,34.1,5 min
26-05-2025,00:12:50,33.9,5 min
26-05-2025,00:17:50,33.8,5 min
26-05-2025,00:22:50,33.5,5 min
26-05-2025,00:27:50,33.7,5 min
26-05-2025,00:32:50,33.6,5 min
26-05-2025,00:37:50,33.8,5 min
26-05-2025,00:42:50,33.9,5 min
26-05-2025,00:47:50,34.1,5 min
26-05-2025,00:52:50,34.5,5 min
26-05-2025,00:57:50,34.5,5 min
26-05-2025,01:02:50,34.5,5 min
26-05-2025,01:07:50,34.5,5 min
26-05-2025,01:12:50,34.6,5 min
26-05-2025,01:17:50,34.9,5 min
26-05-2025,01:22:50,35.3,5 min
26-05-2025,01:27:50,35.5,5 min
26-05-2025,01:32:50,35.3,5 min
26-05-2025,01:37:50,35.2,5 min
26-05-2025,01:42:50,35.5,5 min
26-05-2025,01:47:50,35.5,5 min
26-05-2025,01:52:50,35.6,5 min
26-05-2025,01:57:50,35.6,5 min
26-05-2025,02:02:50,35.7,5 min
26-05-2025,02:07:50,35.7,5 min
26-05-2025,02:12:50,35.8,5 min
26-05-2025,02:17:50,35.9,5 min
26-05-2025,02:22:50,35.9,5 min
26-05-2025,02:27:50,35.5,5 min
26-05-2025,02:32:50,34.9,5 min
26-05-2025,02:37:50,34.6,5 min
26-05-2025,02:42:50,34.6,5 min
26-05-2025,02:47:50,34.9,5 min
26-05-2025,02:52:50,35.2,5 min
26-05-2025,02:57:50,35.3,5 min
26-05-2025,03:02:50,35.4,5 min
