Date,Time,Temperature(°C),Interval(in minutes)
2025-04-07,18:21:04,-,30 sec
07-04-2025,14:53:00,25.7,0.5
07-04-2025,14:53:30,25.7,0.5
07-04-2025,14:54:00,20.6,0.5
07-04-2025,14:54:30,25.7,0.5
07-04-2025,14:55:00,25.7,0.5
07-04-2025,14:55:30,25.7,0.5
07-04-2025,14:56:00,25.7,0.5
07-04-2025,14:56:30,25.7,0.5
07-04-2025,14:57:00,25.7,0.5
07-04-2025,14:57:30,25.7,0.5
07-04-2025,14:58:00,25.6,0.5
07-04-2025,14:58:30,25.7,0.5
07-04-2025,14:59:00,25.7,0.5
07-04-2025,14:59:30,25.7,0.5
07-04-2025,15:00:00,25.7,0.5
07-04-2025,15:00:30,25.7,0.5
07-04-2025,15:01:00,25.7,0.5
07-04-2025,15:01:30,25.7,0.5
07-04-2025,15:02:00,25.7,0.5
07-04-2025,15:02:30,20.5,0.5
07-04-2025,15:03:00,25.7,0.5
07-04-2025,15:03:30,25.7,0.5
07-04-2025,15:04:00,25.7,0.5
07-04-2025,15:04:30,25.7,0.5
07-04-2025,15:05:00,25.7,0.5
07-04-2025,15:05:30,25.7,0.5
07-04-2025,15:06:00,25.6,0.5
07-04-2025,15:06:30,25.7,0.5
07-04-2025,15:07:00,25.7,0.5
07-04-2025,15:07:30,25.6,0.5
07-04-2025,15:08:00,25.7,0.5
07-04-2025,15:08:30,25.6,0.5
07-04-2025,15:09:00,25.7,0.5
07-04-2025,15:09:30,25.7,0.5
07-04-2025,15:10:00,25.7,0.5
07-04-2025,15:10:30,25.6,0.5
07-04-2025,15:11:00,25.7,0.5
07-04-2025,15:11:30,25.7,0.5
07-04-2025,15:12:00,25.7,0.5
07-04-2025,15:12:30,25.7,0.5
07-04-2025,15:13:00,25.7,0.5
07-04-2025,15:13:30,25.6,0.5
07-04-2025,15:14:00,25.7,0.5
07-04-2025,15:14:30,25.7,0.5
07-04-2025,15:15:00,25.7,0.5
07-04-2025,15:15:30,25.6,0.5
07-04-2025,15:16:00,25.7,0.5
07-04-2025,15:16:30,25.7,0.5
07-04-2025,15:17:00,25.7,0.5
07-04-2025,15:17:30,25.7,0.5
07-04-2025,15:18:00,25.7,0.5
07-04-2025,15:18:30,25.7,0.5
