Date,Time,Temperature(°C),Interval(in minutes)
2025-07-04,15:03:33,-,2 min
04-07-2025,15:03:33,38.8,2
04-07-2025,15:05:33,39.0,2
04-07-2025,15:07:33,39.3,2
04-07-2025,15:09:33,39.4,2
04-07-2025,15:11:33,39.8,2
04-07-2025,15:13:33,40.2,2
04-07-2025,15:15:33,40.8,2
04-07-2025,15:17:33,41.3,2
04-07-2025,15:19:33,41.9,2
04-07-2025,15:21:33,42.3,2
04-07-2025,15:23:33,42.7,2
04-07-2025,15:25:33,43.3,2
04-07-2025,15:27:33,43.7,2
04-07-2025,15:29:33,44.2,2
04-07-2025,15:31:33,44.5,2
04-07-2025,15:33:33,44.8,2
04-07-2025,15:35:33,45.1,2
04-07-2025,15:37:33,45.4,2
04-07-2025,15:39:33,45.7,2
04-07-2025,15:41:33,45.9,2
04-07-2025,15:43:33,46.3,2
04-07-2025,15:45:33,46.6,2
04-07-2025,15:47:33,46.9,2
04-07-2025,15:49:33,47.0,2
04-07-2025,15:51:33,47.2,2
04-07-2025,15:53:33,47.3,2
04-07-2025,15:55:33,47.5,2
04-07-2025,15:57:33,47.7,2
04-07-2025,15:59:33,47.8,2
04-07-2025,16:01:33,48.0,2
04-07-2025,16:03:33,48.2,2
04-07-2025,16:05:33,48.5,2
04-07-2025,16:07:33,48.5,2
04-07-2025,16:09:33,48.7,2
04-07-2025,16:11:33,48.9,2
04-07-2025,16:13:33,49.2,2
04-07-2025,16:15:33,49.4,2
04-07-2025,16:17:33,49.5,2
04-07-2025,16:19:33,49.6,2
04-07-2025,16:21:33,49.7,2
04-07-2025,16:23:33,49.8,2
04-07-2025,16:25:33,49.7,2
04-07-2025,16:27:33,49.6,2
04-07-2025,16:29:33,49.4,2
04-07-2025,16:31:33,49.5,2
04-07-2025,16:33:33,49.6,2
04-07-2025,16:35:33,49.7,2
04-07-2025,16:37:33,49.7,2
04-07-2025,16:39:33,49.7,2
04-07-2025,16:41:33,49.6,2
04-07-2025,16:43:33,49.6,2
04-07-2025,16:45:33,49.6,2
04-07-2025,16:47:33,49.7,2
04-07-2025,16:49:33,49.9,2
04-07-2025,16:51:33,49.8,2
04-07-2025,16:53:33,50.0,2
04-07-2025,16:55:33,49.9,2
04-07-2025,16:57:33,49.9,2
04-07-2025,16:59:33,49.8,2
04-07-2025,17:01:33,49.8,2
04-07-2025,17:03:33,49.7,2
04-07-2025,17:05:33,49.8,2
04-07-2025,17:07:33,49.9,2
04-07-2025,17:09:33,50.0,2
04-07-2025,17:11:33,50.0,2
04-07-2025,17:13:33,50.2,2
04-07-2025,17:15:33,51.0,2
04-07-2025,17:17:33,50.9,2
04-07-2025,17:19:33,50.8,2
04-07-2025,17:21:33,50.4,2
04-07-2025,17:23:33,50.1,2
04-07-2025,17:25:33,49.7,2
04-07-2025,17:27:33,49.2,2
04-07-2025,17:29:33,48.8,2
04-07-2025,17:31:33,48.5,2
04-07-2025,17:33:33,48.1,2
04-07-2025,17:35:33,47.6,2
04-07-2025,17:37:33,47.0,2
04-07-2025,17:39:33,46.4,2
04-07-2025,17:41:33,45.9,2
04-07-2025,17:43:33,45.4,2
04-07-2025,17:45:33,44.9,2
04-07-2025,17:47:33,44.5,2
04-07-2025,17:49:33,44.1,2
04-07-2025,17:51:33,43.8,2
04-07-2025,17:53:33,43.5,2
04-07-2025,17:55:33,43.2,2
04-07-2025,17:57:33,42.8,2
04-07-2025,17:59:33,42.5,2
04-07-2025,18:01:33,42.1,2
04-07-2025,18:03:33,41.9,2
04-07-2025,18:05:33,41.6,2
04-07-2025,18:07:33,41.4,2
04-07-2025,18:09:33,41.1,2
04-07-2025,18:11:33,41.0,2
04-07-2025,18:13:33,40.8,2
04-07-2025,18:15:33,40.7,2
04-07-2025,18:17:33,40.5,2
04-07-2025,18:19:33,40.4,2
04-07-2025,18:21:33,40.3,2
04-07-2025,18:23:33,40.1,2
04-07-2025,18:25:33,40.0,2
04-07-2025,18:27:33,39.8,2
04-07-2025,18:29:33,39.8,2
04-07-2025,18:31:33,39.8,2
04-07-2025,18:33:33,39.6,2
04-07-2025,18:35:33,39.5,2
04-07-2025,18:37:33,39.3,2
