Date,Time,Temperature(°C),Interval(in minutes)
2025-04-02,20:23:07,-,30 sec
02-04-2025,20:23:07,24.6,0.5
02-04-2025,20:23:37,24.7,0.5
02-04-2025,20:24:07,24.7,0.5
02-04-2025,20:24:37,24.8,0.5
02-04-2025,20:25:07,24.8,0.5
02-04-2025,20:25:37,24.8,0.5
02-04-2025,20:26:07,24.9,0.5
02-04-2025,20:26:37,24.9,0.5
02-04-2025,20:27:07,25.0,0.5
02-04-2025,20:27:37,25.0,0.5
02-04-2025,20:28:07,25.0,0.5
02-04-2025,20:28:37,25.0,0.5
02-04-2025,20:29:07,25.1,0.5
02-04-2025,20:29:37,25.1,0.5
02-04-2025,20:30:07,25.1,0.5
02-04-2025,20:30:37,25.1,0.5
02-04-2025,20:31:07,25.1,0.5
02-04-2025,20:31:37,25.1,0.5
02-04-2025,20:32:07,23.9,0.5
02-04-2025,20:32:37,25.2,0.5
02-04-2025,20:33:07,25.2,0.5
02-04-2025,20:33:37,25.2,0.5
02-04-2025,20:34:07,25.2,0.5
02-04-2025,20:34:37,25.2,0.5
02-04-2025,20:35:07,25.2,0.5
02-04-2025,20:35:37,25.2,0.5
02-04-2025,20:36:07,25.2,0.5
02-04-2025,20:36:37,23.9,0.5
02-04-2025,20:37:07,25.2,0.5
02-04-2025,20:37:37,23.9,0.5
02-04-2025,20:38:07,25.2,0.5
02-04-2025,20:38:37,25.2,0.5
02-04-2025,20:39:07,25.2,0.5
02-04-2025,20:39:37,25.2,0.5
02-04-2025,20:40:07,25.2,0.5
02-04-2025,20:40:37,25.2,0.5
02-04-2025,20:41:07,25.2,0.5
02-04-2025,20:41:37,25.2,0.5
02-04-2025,20:42:07,25.2,0.5
02-04-2025,20:42:37,25.2,0.5
02-04-2025,20:43:07,25.3,0.5
02-04-2025,20:43:37,25.3,0.5
02-04-2025,20:44:07,25.3,0.5
02-04-2025,20:44:37,25.3,0.5
02-04-2025,20:45:07,25.3,0.5
02-04-2025,20:45:37,25.3,0.5
02-04-2025,20:46:07,25.3,0.5
02-04-2025,20:46:37,25.3,0.5
02-04-2025,20:47:07,25.0,0.5
02-04-2025,20:47:37,25.3,0.5
02-04-2025,20:48:07,25.3,0.5
02-04-2025,20:48:37,25.3,0.5
02-04-2025,20:49:07,25.3,0.5
02-04-2025,20:49:37,24.0,0.5
02-04-2025,20:50:07,25.3,0.5
02-04-2025,20:50:37,25.3,0.5
02-04-2025,20:51:07,25.3,0.5
02-04-2025,20:51:37,25.3,0.5
02-04-2025,20:52:07,25.3,0.5
02-04-2025,20:52:37,25.3,0.5
02-04-2025,20:53:07,25.3,0.5
02-04-2025,20:53:37,25.3,0.5
02-04-2025,20:54:07,25.3,0.5
02-04-2025,20:54:37,25.0,0.5
02-04-2025,20:55:07,25.3,0.5
02-04-2025,20:55:37,25.3,0.5
