Date,Time,Temperature(°C),Interval(in minutes)
2025-04-02,12:59:36,-,10 min
02-04-2025,12:59:36,24.4,10
02-04-2025,13:09:36,24.4,10
02-04-2025,13:19:36,24.4,10
02-04-2025,13:29:36,24.4,10
02-04-2025,13:39:36,24.4,10
02-04-2025,13:49:36,24.4,10
02-04-2025,13:59:36,24.4,10
02-04-2025,14:09:36,24.4,10
02-04-2025,14:19:36,24.4,10
02-04-2025,14:29:36,24.4,10
02-04-2025,14:39:36,24.3,10
02-04-2025,14:49:36,24.4,10
02-04-2025,14:59:36,24.4,10
02-04-2025,15:09:36,24.4,10
02-04-2025,15:19:36,24.4,10
02-04-2025,15:29:36,24.4,10
02-04-2025,15:39:36,24.5,10
02-04-2025,15:49:36,24.5,10
02-04-2025,15:59:36,24.3,10
02-04-2025,16:09:36,24.5,10
02-04-2025,16:19:36,24.5,10
02-04-2025,16:29:36,24.5,10
02-04-2025,16:39:36,24.5,10
02-04-2025,16:49:36,24.4,10
02-04-2025,16:59:36,24.5,10
02-04-2025,17:09:36,24.5,10
02-04-2025,17:19:36,24.5,10
02-04-2025,17:29:36,24.5,10
02-04-2025,17:39:36,24.5,10
02-04-2025,17:49:36,24.5,10
02-04-2025,17:59:36,24.5,10
02-04-2025,18:09:36,24.5,10
02-04-2025,18:19:36,24.5,10
02-04-2025,18:29:36,24.5,10
02-04-2025,18:39:36,24.3,10
02-04-2025,18:49:36,24.5,10
02-04-2025,18:59:36,24.5,10
02-04-2025,19:09:36,24.5,10
02-04-2025,19:19:36,24.5,10
02-04-2025,19:29:36,24.5,10
02-04-2025,19:39:36,24.5,10
02-04-2025,19:49:36,24.5,10
02-04-2025,19:59:36,24.5,10
02-04-2025,20:09:36,24.5,10
02-04-2025,20:19:36,24.4,10
02-04-2025,20:29:36,24.5,10
02-04-2025,20:39:36,24.4,10
02-04-2025,20:49:36,24.5,10
02-04-2025,20:59:36,24.5,10
02-04-2025,21:09:36,24.5,10
02-04-2025,21:19:36,24.5,10
02-04-2025,21:29:36,24.4,10
02-04-2025,21:39:36,24.5,10
02-04-2025,21:49:36,24.5,10
02-04-2025,21:59:36,24.5,10
02-04-2025,22:09:36,24.3,10
02-04-2025,22:19:36,24.5,10
02-04-2025,22:29:36,21.9,10
02-04-2025,22:39:36,24.3,10
02-04-2025,22:49:36,24.5,10
02-04-2025,22:59:36,24.5,10
02-04-2025,23:09:36,24.5,10
02-04-2025,23:19:36,24.4,10
02-04-2025,23:29:36,24.5,10
02-04-2025,23:39:36,24.5,10
02-04-2025,23:49:36,24.5,10
02-04-2025,23:59:36,24.5,10
03-04-2025,00:09:36,24.5,10
03-04-2025,00:19:36,24.5,10
03-04-2025,00:29:36,24.3,10
