Date,Time,Temperature(°C),Interval(in minutes)
2025-04-04,18:19:15,-,30 sec
04-04-2025,18:19:15,26.8,0.5
04-04-2025,18:19:45,26.7,0.5
04-04-2025,18:20:15,26.5,0.5
04-04-2025,18:20:45,26.2,0.5
04-04-2025,18:21:15,26.1,0.5
04-04-2025,18:21:45,26.0,0.5
04-04-2025,18:22:15,25.9,0.5
04-04-2025,18:22:45,25.9,0.5
04-04-2025,18:23:15,25.7,0.5
04-04-2025,18:23:45,25.7,0.5
04-04-2025,18:24:15,25.6,0.5
04-04-2025,18:24:45,25.6,0.5
04-04-2025,18:25:15,25.6,0.5
04-04-2025,18:25:45,25.5,0.5
04-04-2025,18:26:15,25.6,0.5
04-04-2025,18:26:45,25.7,0.5
04-04-2025,18:27:15,25.7,0.5
04-04-2025,18:27:45,25.6,0.5
04-04-2025,18:28:15,25.6,0.5
04-04-2025,18:28:45,25.6,0.5
04-04-2025,18:29:15,25.4,0.5
04-04-2025,18:29:45,25.4,0.5
04-04-2025,18:30:15,25.4,0.5
04-04-2025,18:30:45,25.3,0.5
04-04-2025,18:31:15,25.3,0.5
04-04-2025,18:31:45,25.3,0.5
04-04-2025,18:32:15,25.3,0.5
04-04-2025,18:32:45,25.3,0.5
04-04-2025,18:33:15,25.4,0.5
04-04-2025,18:33:45,25.4,0.5
04-04-2025,18:34:15,25.6,0.5
04-04-2025,18:34:45,25.5,0.5
04-04-2025,18:35:15,25.5,0.5
04-04-2025,18:35:45,25.6,0.5
04-04-2025,18:36:15,25.9,0.5
04-04-2025,18:36:45,25.8,0.5
04-04-2025,18:37:15,26.0,0.5
04-04-2025,18:37:45,25.9,0.5
04-04-2025,18:38:15,25.9,0.5
04-04-2025,18:38:45,25.7,0.5
04-04-2025,18:39:15,25.6,0.5
04-04-2025,18:39:45,25.6,0.5
04-04-2025,18:40:15,25.5,0.5
04-04-2025,18:40:45,25.6,0.5
04-04-2025,18:41:15,25.5,0.5
04-04-2025,18:41:45,25.5,0.5
04-04-2025,18:42:15,25.5,0.5
04-04-2025,18:42:45,25.5,0.5
04-04-2025,18:43:15,25.4,0.5
04-04-2025,18:43:45,25.3,0.5
04-04-2025,18:44:15,25.3,0.5
04-04-2025,18:44:45,25.3,0.5
04-04-2025,18:45:15,25.2,0.5
04-04-2025,18:45:45,25.2,0.5
04-04-2025,18:46:15,25.0,0.5
04-04-2025,18:46:45,24.8,0.5
04-04-2025,18:47:15,24.7,0.5
04-04-2025,18:47:45,24.7,0.5
04-04-2025,18:48:15,24.7,0.5
04-04-2025,18:48:45,24.7,0.5
04-04-2025,18:49:15,24.7,0.5
04-04-2025,18:49:45,24.7,0.5
04-04-2025,18:50:15,24.7,0.5
04-04-2025,18:50:45,24.5,0.5
04-04-2025,18:51:15,24.5,0.5
04-04-2025,18:51:45,24.5,0.5
04-04-2025,18:52:15,24.5,0.5
04-04-2025,18:52:45,24.5,0.5
04-04-2025,18:53:15,24.5,0.5
04-04-2025,18:53:45,24.4,0.5
04-04-2025,18:54:15,24.3,0.5
04-04-2025,18:54:45,24.3,0.5
04-04-2025,18:55:15,24.4,0.5
04-04-2025,18:55:45,24.4,0.5
04-04-2025,18:56:15,24.4,0.5
04-04-2025,18:56:45,24.4,0.5
04-04-2025,18:57:15,24.4,0.5
04-04-2025,18:57:45,24.4,0.5
04-04-2025,18:58:15,24.4,0.5
04-04-2025,18:58:45,24.4,0.5
04-04-2025,18:59:15,24.3,0.5
04-04-2025,18:59:45,24.2,0.5
04-04-2025,19:00:15,24.2,0.5
04-04-2025,19:00:45,24.2,0.5
04-04-2025,19:01:15,24.2,0.5
04-04-2025,19:01:45,24.3,0.5
04-04-2025,19:02:15,24.2,0.5
04-04-2025,19:02:45,24.3,0.5
04-04-2025,19:03:15,24.3,0.5
04-04-2025,19:03:45,24.1,0.5
04-04-2025,19:04:15,24.1,0.5
04-04-2025,19:04:45,24.1,0.5
04-04-2025,19:05:15,24.0,0.5
04-04-2025,19:05:45,24.0,0.5
04-04-2025,19:06:15,24.0,0.5
04-04-2025,19:06:45,24.1,0.5
04-04-2025,19:07:15,24.0,0.5
04-04-2025,19:07:45,24.0,0.5
04-04-2025,19:08:15,24.0,0.5
04-04-2025,19:08:45,24.0,0.5
04-04-2025,19:09:15,24.0,0.5
04-04-2025,19:09:45,24.1,0.5
04-04-2025,19:10:15,24.1,0.5
04-04-2025,19:10:45,24.2,0.5
04-04-2025,19:11:15,24.2,0.5
04-04-2025,19:11:45,24.2,0.5
04-04-2025,19:12:15,24.2,0.5
04-04-2025,19:12:45,24.3,0.5
04-04-2025,19:13:15,24.3,0.5
04-04-2025,19:13:45,24.2,0.5
04-04-2025,19:14:15,24.2,0.5
04-04-2025,19:14:45,24.1,0.5
04-04-2025,19:15:15,24.2,0.5
04-04-2025,19:15:45,24.2,0.5
04-04-2025,19:16:15,24.1,0.5
04-04-2025,19:16:45,24.0,0.5
04-04-2025,19:17:15,24.0,0.5
04-04-2025,19:17:45,24.0,0.5
04-04-2025,19:18:15,24.0,0.5
04-04-2025,19:18:45,23.9,0.5
