Date,Time,Temperature(°C),Interval(in minutes)
24-06-2025,17:57:45,24.5,0.5
24-06-2025,17:58:15,24.4,0.5
24-06-2025,17:58:45,24.4,0.5
24-06-2025,17:59:15,24.4,0.5
24-06-2025,17:59:45,24.4,0.5
24-06-2025,18:00:15,24.4,0.5
24-06-2025,18:00:45,24.4,0.5
24-06-2025,18:01:15,24.4,0.5
24-06-2025,18:01:45,24.4,0.5
24-06-2025,18:02:15,24.4,0.5
24-06-2025,18:02:45,24.4,0.5
24-06-2025,18:03:15,24.5,0.5
24-06-2025,18:03:45,24.4,0.5
24-06-2025,18:04:15,24.4,0.5
24-06-2025,18:04:45,24.5,0.5
24-06-2025,18:05:15,24.5,0.5
24-06-2025,18:05:45,24.5,0.5
24-06-2025,18:06:15,24.4,0.5
24-06-2025,18:06:45,24.3,0.5
24-06-2025,18:07:15,24.4,0.5
24-06-2025,18:07:45,24.5,0.5
24-06-2025,18:08:15,24.3,0.5
24-06-2025,18:08:45,24.4,0.5
24-06-2025,18:09:15,24.2,0.5
24-06-2025,18:09:45,24.2,0.5
24-06-2025,18:10:15,24.2,0.5
24-06-2025,18:10:45,24.2,0.5
24-06-2025,18:11:15,24.2,0.5
24-06-2025,18:11:45,24.2,0.5
24-06-2025,18:12:15,24.3,0.5
