Date,Time,Temperature(°C),Interval(in minutes)
24-06-2025,17:57:45,24.5,0.5
24-06-2025,17:58:15,24.4,0.5
24-06-2025,17:58:45,24.4,0.5
24-06-2025,17:59:15,24.4,0.5
24-06-2025,17:59:45,24.4,0.5
24-06-2025,18:00:15,24.4,0.5
24-06-2025,18:00:45,24.4,0.5
24-06-2025,18:01:15,24.4,0.5
24-06-2025,18:01:45,24.4,0.5
24-06-2025,18:02:15,24.4,0.5
24-06-2025,18:02:45,24.4,0.5
24-06-2025,18:03:15,24.5,0.5
24-06-2025,18:03:45,24.4,0.5
24-06-2025,18:04:15,24.4,0.5
24-06-2025,18:04:45,24.5,0.5
24-06-2025,18:05:15,24.5,0.5
24-06-2025,18:05:45,24.5,0.5
24-06-2025,18:06:15,24.4,0.5
24-06-2025,18:06:45,24.3,0.5
24-06-2025,18:07:15,24.4,0.5
24-06-2025,18:07:45,24.5,0.5
24-06-2025,18:08:15,24.3,0.5
24-06-2025,18:08:45,24.4,0.5
24-06-2025,18:09:15,24.2,0.5
24-06-2025,18:09:45,24.2,0.5
24-06-2025,18:10:15,24.2,0.5
24-06-2025,18:10:45,24.2,0.5
24-06-2025,18:11:15,24.2,0.5
24-06-2025,18:11:45,24.2,0.5
24-06-2025,18:12:15,24.3,0.5
24-06-2025,18:12:45,24.5,0.5
24-06-2025,18:13:15,24.7,0.5
24-06-2025,18:13:45,24.5,0.5
24-06-2025,18:14:15,24.3,0.5
24-06-2025,18:14:45,24.4,0.5
24-06-2025,18:15:15,24.4,0.5
24-06-2025,18:15:45,24.5,0.5
24-06-2025,18:16:15,24.5,0.5
24-06-2025,18:16:45,24.6,0.5
24-06-2025,18:17:15,24.6,0.5
24-06-2025,18:17:45,24.6,0.5
24-06-2025,18:18:15,24.7,0.5
24-06-2025,18:18:45,24.8,0.5
24-06-2025,18:19:15,24.8,0.5
24-06-2025,18:19:45,24.8,0.5
24-06-2025,18:20:15,24.9,0.5
24-06-2025,18:20:45,24.9,0.5
24-06-2025,18:21:15,24.9,0.5
24-06-2025,18:21:45,24.9,0.5
24-06-2025,18:22:15,24.9,0.5
24-06-2025,18:22:45,24.8,0.5
24-06-2025,18:23:15,24.8,0.5
24-06-2025,18:23:45,24.8,0.5
24-06-2025,18:24:15,24.8,0.5
24-06-2025,18:24:45,24.7,0.5
24-06-2025,18:25:15,24.7,0.5
24-06-2025,18:25:45,26.0,0.5
24-06-2025,18:26:15,25.8,0.5
24-06-2025,18:26:45,25.7,0.5
24-06-2025,18:27:15,25.7,0.5
24-06-2025,18:27:45,25.6,0.5
24-06-2025,18:28:15,25.5,0.5
24-06-2025,18:28:45,25.5,0.5
24-06-2025,18:29:15,25.4,0.5
24-06-2025,18:29:45,25.5,0.5
24-06-2025,18:30:15,25.7,0.5
24-06-2025,18:30:45,25.7,0.5
24-06-2025,18:31:15,26.5,0.5
24-06-2025,18:31:45,26.2,0.5
24-06-2025,18:32:15,25.8,0.5
