Date,Time,Temperature(°C),Interval(in minutes)
2025-04-02,09:37:45,-,30 sec
02-04-2025,09:37:45,27.2,0.5
02-04-2025,09:38:15,27.2,0.5
02-04-2025,09:38:45,27.2,0.5
02-04-2025,09:39:15,27.2,0.5
02-04-2025,09:39:45,27.2,0.5
02-04-2025,09:40:15,27.2,0.5
02-04-2025,09:40:45,27.2,0.5
02-04-2025,09:41:15,27.2,0.5
02-04-2025,09:41:45,27.2,0.5
02-04-2025,09:42:15,27.2,0.5
02-04-2025,09:42:45,27.2,0.5
02-04-2025,09:43:15,27.1,0.5
02-04-2025,09:43:45,27.1,0.5
02-04-2025,09:44:15,27.1,0.5
02-04-2025,09:44:45,27.1,0.5
02-04-2025,09:45:15,27.1,0.5
02-04-2025,09:45:45,27.1,0.5
02-04-2025,09:46:15,27.1,0.5
02-04-2025,09:46:45,27.1,0.5
02-04-2025,09:47:15,27.1,0.5
02-04-2025,09:47:45,27.1,0.5
02-04-2025,09:48:15,27.1,0.5
02-04-2025,09:48:45,27.1,0.5
02-04-2025,09:49:15,27.1,0.5
02-04-2025,09:49:45,27.1,0.5
02-04-2025,09:50:15,27.1,0.5
02-04-2025,09:50:45,27.1,0.5
02-04-2025,09:51:15,27.1,0.5
02-04-2025,09:51:45,27.1,0.5
02-04-2025,09:52:15,27.1,0.5
