Date,Time,Temperature(°C),Interval(in minutes)
2025-04-01,18:08:08,-,30 sec
01-04-2025,18:08:08,40.4,0.5
01-04-2025,18:08:38,40.3,0.5
01-04-2025,18:09:08,40.2,0.5
01-04-2025,18:09:38,40.3,0.5
01-04-2025,18:10:08,39.2,0.5
01-04-2025,18:10:38,40.5,0.5
01-04-2025,18:11:08,40.6,0.5
01-04-2025,18:11:38,40.7,0.5
01-04-2025,18:12:08,40.7,0.5
01-04-2025,18:12:38,40.8,0.5
01-04-2025,18:13:08,40.3,0.5
01-04-2025,18:13:38,39.6,0.5
01-04-2025,18:14:08,40.5,0.5
01-04-2025,18:14:38,40.8,0.5
01-04-2025,18:15:08,40.8,0.5
01-04-2025,18:15:38,40.1,0.5
01-04-2025,18:16:08,40.7,0.5
01-04-2025,18:16:38,40.6,0.5
01-04-2025,18:17:08,40.7,0.5
01-04-2025,18:17:38,40.7,0.5
01-04-2025,18:18:08,40.7,0.5
01-04-2025,18:18:38,40.3,0.5
01-04-2025,18:19:08,40.3,0.5
01-04-2025,18:19:38,40.6,0.5
01-04-2025,18:20:08,40.6,0.5
01-04-2025,18:20:38,39.4,0.5
01-04-2025,18:21:08,40.7,0.5
01-04-2025,18:21:38,40.6,0.5
01-04-2025,18:22:08,40.6,0.5
01-04-2025,18:22:38,39.2,0.5
01-04-2025,18:23:08,40.4,0.5
01-04-2025,18:23:38,40.4,0.5
01-04-2025,18:24:08,40.3,0.5
01-04-2025,18:24:38,40.2,0.5
01-04-2025,18:25:08,40.1,0.5
01-04-2025,18:25:38,39.9,0.5
01-04-2025,18:26:08,39.8,0.5
01-04-2025,18:26:38,39.5,0.5
01-04-2025,18:27:08,39.3,0.5
01-04-2025,18:27:38,39.0,0.5
01-04-2025,18:28:08,38.7,0.5
01-04-2025,18:28:38,38.4,0.5
01-04-2025,18:29:08,38.1,0.5
01-04-2025,18:29:38,37.9,0.5
01-04-2025,18:30:08,37.7,0.5
01-04-2025,18:30:38,37.6,0.5
01-04-2025,18:31:08,37.5,0.5
01-04-2025,18:31:38,37.4,0.5
01-04-2025,18:32:08,37.4,0.5
01-04-2025,18:32:38,37.4,0.5
