Date,Time,Temperature(°C),Interval(in minutes)
2025-04-03,19:09:54,-,30 sec
03-04-2025,19:09:54,12.3,0.5
03-04-2025,19:10:24,12.3,0.5
03-04-2025,19:10:54,12.3,0.5
03-04-2025,19:11:24,12.3,0.5
03-04-2025,19:11:54,12.3,0.5
03-04-2025,19:12:24,12.3,0.5
03-04-2025,19:12:54,12.3,0.5
03-04-2025,19:13:24,12.3,0.5
03-04-2025,19:13:54,12.3,0.5
03-04-2025,19:14:24,12.3,0.5
03-04-2025,19:14:54,12.3,0.5
03-04-2025,19:15:24,12.3,0.5
03-04-2025,19:15:54,12.3,0.5
03-04-2025,19:16:24,12.3,0.5
03-04-2025,19:16:54,12.3,0.5
03-04-2025,19:17:24,12.3,0.5
03-04-2025,19:17:54,12.3,0.5
03-04-2025,19:18:24,12.3,0.5
03-04-2025,19:18:54,12.3,0.5
03-04-2025,19:19:24,12.3,0.5
03-04-2025,19:19:54,12.3,0.5
03-04-2025,19:20:24,12.3,0.5
03-04-2025,19:20:54,12.3,0.5
03-04-2025,19:21:24,12.3,0.5
03-04-2025,19:21:54,12.3,0.5
