Date,Time,Temperature(°C),Interval(in minutes)
2025-04-01,14:46:41,-,30 sec
01-04-2025,14:46:41,24.3,0.5
01-04-2025,14:47:11,24.3,0.5
01-04-2025,14:47:41,24.3,0.5
01-04-2025,14:48:11,24.3,0.5
01-04-2025,14:48:41,24.3,0.5
01-04-2025,14:49:11,24.3,0.5
01-04-2025,14:49:41,24.3,0.5
01-04-2025,14:50:11,24.3,0.5
01-04-2025,14:50:41,24.3,0.5
01-04-2025,14:51:11,24.3,0.5
01-04-2025,14:51:41,24.3,0.5
01-04-2025,14:52:11,24.3,0.5
01-04-2025,14:52:41,24.3,0.5
01-04-2025,14:53:11,24.3,0.5
01-04-2025,14:53:41,24.3,0.5
01-04-2025,14:54:11,24.3,0.5
01-04-2025,14:54:41,24.3,0.5
01-04-2025,14:55:11,24.3,0.5
01-04-2025,14:55:41,24.3,0.5
01-04-2025,14:56:11,24.3,0.5
01-04-2025,14:56:41,24.3,0.5
01-04-2025,14:57:11,24.3,0.5
01-04-2025,14:57:41,24.3,0.5
01-04-2025,14:58:11,24.3,0.5
01-04-2025,14:58:41,24.3,0.5
01-04-2025,14:59:11,24.3,0.5
01-04-2025,14:59:41,24.3,0.5
01-04-2025,15:00:11,24.3,0.5
01-04-2025,15:00:41,24.3,0.5
01-04-2025,15:01:11,24.3,0.5
