Date,Time,Temperature(°C),Interval(in minutes)
2025-04-05,15:07:04,-,30 sec
05-04-2025,15:07:04,32.1,0.5
05-04-2025,15:07:34,32.3,0.5
05-04-2025,15:08:04,32.5,0.5
05-04-2025,15:08:34,32.6,0.5
05-04-2025,15:09:04,32.7,0.5
05-04-2025,15:09:34,32.8,0.5
05-04-2025,15:10:04,32.8,0.5
05-04-2025,15:10:34,32.9,0.5
05-04-2025,15:11:04,32.9,0.5
05-04-2025,15:11:34,32.9,0.5
05-04-2025,15:12:04,32.9,0.5
05-04-2025,15:12:34,32.9,0.5
05-04-2025,15:13:04,32.9,0.5
05-04-2025,15:13:34,32.9,0.5
05-04-2025,15:14:04,32.9,0.5
05-04-2025,15:14:34,33.0,0.5
05-04-2025,15:15:04,33.0,0.5
05-04-2025,15:15:34,33.0,0.5
05-04-2025,15:16:04,33.0,0.5
05-04-2025,15:16:34,33.0,0.5
05-04-2025,15:17:04,33.0,0.5
05-04-2025,15:17:34,33.0,0.5
05-04-2025,15:18:04,33.0,0.5
05-04-2025,15:18:34,32.9,0.5
05-04-2025,15:19:04,32.9,0.5
05-04-2025,15:19:34,32.9,0.5
05-04-2025,15:20:04,32.9,0.5
05-04-2025,15:20:34,33.0,0.5
05-04-2025,15:21:04,33.0,0.5
05-04-2025,15:21:34,33.0,0.5
05-04-2025,15:22:04,33.0,0.5
05-04-2025,15:22:34,33.0,0.5
05-04-2025,15:23:04,33.0,0.5
05-04-2025,15:23:34,33.0,0.5
05-04-2025,15:24:04,33.0,0.5
05-04-2025,15:24:34,33.0,0.5
05-04-2025,15:25:04,33.0,0.5
05-04-2025,15:25:34,33.0,0.5
05-04-2025,15:26:04,33.0,0.5
05-04-2025,15:26:34,33.0,0.5
05-04-2025,15:27:04,33.0,0.5
05-04-2025,15:27:34,33.1,0.5
05-04-2025,15:28:04,33.1,0.5
05-04-2025,15:28:34,33.1,0.5
05-04-2025,15:29:04,33.1,0.5
05-04-2025,15:29:34,33.1,0.5
05-04-2025,15:30:04,33.1,0.5
05-04-2025,15:30:34,33.1,0.5
05-04-2025,15:31:04,33.1,0.5
05-04-2025,15:31:34,33.1,0.5
05-04-2025,15:32:04,33.1,0.5
05-04-2025,15:32:34,33.0,0.5
05-04-2025,15:33:04,33.0,0.5
05-04-2025,15:33:34,33.1,0.5
05-04-2025,15:34:04,33.1,0.5
05-04-2025,15:34:34,33.1,0.5
05-04-2025,15:35:04,33.1,0.5
05-04-2025,15:35:34,33.1,0.5
05-04-2025,15:36:04,33.0,0.5
05-04-2025,15:36:34,33.1,0.5
05-04-2025,15:37:04,33.0,0.5
05-04-2025,15:37:34,33.0,0.5
05-04-2025,15:38:04,33.0,0.5
05-04-2025,15:38:34,33.0,0.5
05-04-2025,15:39:04,33.0,0.5
05-04-2025,15:39:34,33.0,0.5
05-04-2025,15:40:04,33.0,0.5
05-04-2025,15:40:34,33.0,0.5
05-04-2025,15:41:04,33.0,0.5
05-04-2025,15:41:34,33.0,0.5
05-04-2025,15:42:04,33.0,0.5
05-04-2025,15:42:34,33.1,0.5
05-04-2025,15:43:04,33.0,0.5
05-04-2025,15:43:34,33.0,0.5
05-04-2025,15:44:04,33.0,0.5
05-04-2025,15:44:34,33.0,0.5
05-04-2025,15:45:04,33.0,0.5
05-04-2025,15:45:34,32.9,0.5
05-04-2025,15:46:04,32.9,0.5
05-04-2025,15:46:34,32.9,0.5
05-04-2025,15:47:04,32.9,0.5
05-04-2025,15:47:34,32.9,0.5
05-04-2025,15:48:04,32.9,0.5
05-04-2025,15:48:34,32.9,0.5
05-04-2025,15:49:04,32.9,0.5
05-04-2025,15:49:34,32.9,0.5
05-04-2025,15:50:04,33.0,0.5
05-04-2025,15:50:34,33.0,0.5
05-04-2025,15:51:04,33.0,0.5
05-04-2025,15:51:34,33.0,0.5
05-04-2025,15:52:04,33.0,0.5
05-04-2025,15:52:34,33.0,0.5
05-04-2025,15:53:04,33.0,0.5
05-04-2025,15:53:34,33.0,0.5
05-04-2025,15:54:04,33.0,0.5
05-04-2025,15:54:34,33.0,0.5
05-04-2025,15:55:04,33.1,0.5
05-04-2025,15:55:34,33.0,0.5
05-04-2025,15:56:04,33.0,0.5
05-04-2025,15:56:34,33.0,0.5
05-04-2025,15:57:04,33.0,0.5
05-04-2025,15:57:34,33.1,0.5
05-04-2025,15:58:04,33.1,0.5
05-04-2025,15:58:34,33.1,0.5
05-04-2025,15:59:04,33.2,0.5
05-04-2025,15:59:34,33.2,0.5
05-04-2025,16:00:04,33.2,0.5
05-04-2025,16:00:34,33.2,0.5
05-04-2025,16:01:04,33.1,0.5
05-04-2025,16:01:34,33.2,0.5
05-04-2025,16:02:04,33.2,0.5
05-04-2025,16:02:34,33.2,0.5
05-04-2025,16:03:04,33.2,0.5
05-04-2025,16:03:34,33.2,0.5
05-04-2025,16:04:04,33.2,0.5
05-04-2025,16:04:34,33.2,0.5
05-04-2025,16:05:04,33.2,0.5
05-04-2025,16:05:34,33.2,0.5
05-04-2025,16:06:04,33.2,0.5
05-04-2025,16:06:34,33.2,0.5
05-04-2025,16:07:04,33.2,0.5
05-04-2025,16:07:34,33.2,0.5
05-04-2025,16:08:04,33.2,0.5
05-04-2025,16:08:34,33.1,0.5
05-04-2025,16:09:04,33.1,0.5
05-04-2025,16:09:34,33.1,0.5
05-04-2025,16:10:04,33.1,0.5
05-04-2025,16:10:34,33.1,0.5
05-04-2025,16:11:04,33.1,0.5
05-04-2025,16:11:34,33.1,0.5
05-04-2025,16:12:04,33.1,0.5
05-04-2025,16:12:34,33.1,0.5
05-04-2025,16:13:04,33.0,0.5
05-04-2025,16:13:34,33.1,0.5
05-04-2025,16:14:04,33.0,0.5
05-04-2025,16:14:34,33.0,0.5
05-04-2025,16:15:04,33.0,0.5
