Date,Time,Temperature(°C),Interval
2025-04-11,12:14:23,-,30 sec
11-04-2025,12:14:23,25.5,30 sec
11-04-2025,12:14:53,25.1,30 sec
11-04-2025,12:15:23,24.7,30 sec
11-04-2025,12:15:53,24.4,30 sec
11-04-2025,12:16:23,24.2,30 sec
11-04-2025,12:16:53,24.1,30 sec
11-04-2025,12:17:23,24.1,30 sec
11-04-2025,12:17:53,24.0,30 sec
11-04-2025,12:18:23,24.1,30 sec
11-04-2025,12:18:53,24.1,30 sec
11-04-2025,12:19:23,24.2,30 sec
11-04-2025,12:19:53,24.3,30 sec
11-04-2025,12:20:23,24.4,30 sec
11-04-2025,12:20:53,24.3,30 sec
11-04-2025,12:21:23,24.2,30 sec
11-04-2025,12:21:53,24.2,30 sec
11-04-2025,12:22:23,24.1,30 sec
11-04-2025,12:22:53,24.1,30 sec
11-04-2025,12:23:23,24.0,30 sec
11-04-2025,12:23:53,24.1,30 sec
11-04-2025,12:24:23,24.1,30 sec
11-04-2025,12:24:53,24.1,30 sec
11-04-2025,12:25:23,24.2,30 sec
11-04-2025,12:25:53,24.2,30 sec
11-04-2025,12:26:23,24.2,30 sec
11-04-2025,12:26:53,24.1,30 sec
11-04-2025,12:27:23,24.2,30 sec
11-04-2025,12:27:53,24.3,30 sec
11-04-2025,12:28:23,24.4,30 sec
11-04-2025,12:28:53,24.4,30 sec
