Date,Time,Temperature(°C),Interval(in minutes)
2025-03-29,16:42:55,-,10 min
29-03-2025,16:42:55,22.1,10
29-03-2025,16:52:55,24.6,10
29-03-2025,17:02:55,24.6,10
29-03-2025,17:12:55,24.6,10
29-03-2025,17:22:55,24.6,10
29-03-2025,17:32:55,24.6,10
29-03-2025,17:42:55,24.6,10
29-03-2025,17:52:55,24.6,10
29-03-2025,18:02:55,24.6,10
29-03-2025,18:12:55,24.6,10
29-03-2025,18:22:55,24.6,10
29-03-2025,18:32:55,24.6,10
29-03-2025,18:42:55,24.6,10
29-03-2025,18:52:55,21.9,10
29-03-2025,19:02:55,24.4,10
29-03-2025,19:12:55,24.6,10
29-03-2025,19:22:55,24.6,10
29-03-2025,19:32:55,24.5,10
29-03-2025,19:42:55,24.6,10
29-03-2025,19:52:55,24.4,10
29-03-2025,20:02:55,24.5,10
29-03-2025,20:12:55,24.6,10
29-03-2025,20:22:55,24.6,10
29-03-2025,20:32:55,24.6,10
29-03-2025,20:42:55,24.3,10
29-03-2025,20:52:55,24.6,10
29-03-2025,21:02:55,24.6,10
29-03-2025,21:12:55,24.5,10
29-03-2025,21:22:55,23.2,10
29-03-2025,21:32:55,24.5,10
29-03-2025,21:42:55,24.3,10
29-03-2025,21:52:55,24.5,10
29-03-2025,22:02:55,24.6,10
29-03-2025,22:12:55,24.6,10
29-03-2025,22:22:55,24.6,10
29-03-2025,22:32:55,23.3,10
29-03-2025,22:42:55,24.6,10
29-03-2025,22:52:55,24.6,10
29-03-2025,23:02:55,24.6,10
29-03-2025,23:12:55,24.6,10
29-03-2025,23:22:55,24.6,10
29-03-2025,23:32:55,24.6,10
29-03-2025,23:42:55,24.5,10
29-03-2025,23:52:55,23.2,10
30-03-2025,00:02:55,24.5,10
30-03-2025,00:12:55,24.4,10
30-03-2025,00:22:55,24.6,10
30-03-2025,00:32:55,24.5,10
30-03-2025,00:42:55,24.5,10
30-03-2025,00:52:55,24.5,10
30-03-2025,01:02:55,24.5,10
30-03-2025,01:12:55,24.5,10
30-03-2025,01:22:55,24.5,10
30-03-2025,01:32:55,24.5,10
30-03-2025,01:42:55,24.5,10
30-03-2025,01:52:55,24.5,10
30-03-2025,02:02:55,24.5,10
30-03-2025,02:12:55,24.5,10
30-03-2025,02:22:55,24.5,10
30-03-2025,02:32:55,24.5,10
30-03-2025,02:42:55,24.6,10
