Date,Time,Temperature(°C),Interval(in minutes)
2025-04-02,13:06:45,-,10 min
02-04-2025,13:06:45,24.5,10
02-04-2025,13:16:45,24.5,10
02-04-2025,13:26:45,24.5,10
02-04-2025,13:36:45,24.5,10
02-04-2025,13:46:45,24.5,10
02-04-2025,13:56:45,24.5,10
02-04-2025,14:06:45,24.5,10
02-04-2025,14:16:45,24.5,10
02-04-2025,14:26:45,24.5,10
02-04-2025,14:36:45,24.4,10
02-04-2025,14:46:45,24.5,10
02-04-2025,14:56:45,24.4,10
02-04-2025,15:06:45,24.5,10
02-04-2025,15:16:45,24.5,10
02-04-2025,15:26:45,24.5,10
02-04-2025,15:36:45,24.5,10
02-04-2025,15:46:45,24.5,10
02-04-2025,15:56:45,24.5,10
02-04-2025,16:06:45,24.5,10
02-04-2025,16:16:45,24.5,10
02-04-2025,16:26:45,24.5,10
02-04-2025,16:36:45,24.5,10
02-04-2025,16:46:45,24.4,10
02-04-2025,16:56:45,24.5,10
02-04-2025,17:06:45,24.5,10
02-04-2025,17:16:45,24.5,10
02-04-2025,17:26:45,24.6,10
02-04-2025,17:36:45,24.6,10
02-04-2025,17:46:45,24.5,10
02-04-2025,17:56:45,24.6,10
02-04-2025,18:06:45,24.6,10
02-04-2025,18:16:45,24.6,10
02-04-2025,18:26:45,24.6,10
02-04-2025,18:36:45,24.6,10
02-04-2025,18:46:45,24.6,10
02-04-2025,18:56:45,24.6,10
02-04-2025,19:06:45,24.6,10
02-04-2025,19:16:45,24.6,10
02-04-2025,19:26:45,24.6,10
02-04-2025,19:36:45,24.5,10
02-04-2025,19:46:45,24.5,10
02-04-2025,19:56:45,24.6,10
02-04-2025,20:06:45,24.6,10
02-04-2025,20:16:45,24.6,10
02-04-2025,20:26:45,24.4,10
02-04-2025,20:36:45,24.5,10
02-04-2025,20:46:45,24.6,10
02-04-2025,20:56:45,24.6,10
02-04-2025,21:06:45,24.6,10
02-04-2025,21:16:45,24.6,10
02-04-2025,21:26:45,24.6,10
02-04-2025,21:36:45,24.6,10
02-04-2025,21:46:45,24.6,10
02-04-2025,21:56:45,22.0,10
02-04-2025,22:06:45,24.6,10
02-04-2025,22:16:45,24.6,10
02-04-2025,22:26:45,24.6,10
02-04-2025,22:36:45,24.6,10
02-04-2025,22:46:45,24.6,10
02-04-2025,22:56:45,24.6,10
